"May 30, 2014 at 12:29AM","May 30, 2014 at 06:30AM",6h 4m,21845,2h 52m,10323,44.85%,3h 12m,11522,50.06%,19m,1170,5.08%
"May 30, 2014 at 11:41PM","May 31, 2014 at 08:05AM",9h 2m,32572,3h 59m,14340,42.36%,4h 15m,15332,45.29%,21m,1278,3.78%
"May 31, 2014 at 11:24PM","June 01, 2014 at 07:40AM",8h 17m,29849,6h 29m,23369,77.29%,1h 48m,6480,21.43%,6m,386,1.28%
"June 01, 2014 at 11:14PM","June 02, 2014 at 06:30AM",7h 15m,26126,4h 57m,17846,66.48%,2h 18m,8280,30.84%,12m,720,2.68%
"June 03, 2014 at 03:14AM","June 03, 2014 at 06:30AM",4h 23m,15781,1h 25m,5100,29.94%,1h 52m,6727,39.49%,20m,1254,7.36%
"June 04, 2014 at 12:47AM","June 04, 2014 at 06:30AM",5h 46m,20766,2h 15m,8100,37.39%,3h 31m,12666,58.46%,14m,899,4.15%
"June 09, 2014 at 01:56AM","June 09, 2014 at 07:10AM",5h 9m,18567,2h 9m,7746,38.57%,3h 0m,10821,53.88%,25m,1518,7.56%
"June 09, 2014 at 10:59PM","June 10, 2014 at 06:00AM",7h 9m,25765,3h 42m,13379,50.25%,3h 18m,11881,44.62%,14m,862,3.24%
"June 11, 2014 at 12:37AM","June 11, 2014 at 06:10AM",5h 37m,20246,3h 4m,11040,52.74%,2h 28m,8880,42.42%,11m,686,3.28%
"June 11, 2014 at 10:53PM","June 12, 2014 at 06:00AM",7h 8m,25680,3h 44m,13499,51.21%,3h 23m,12181,46.21%,11m,679,2.58%
"June 13, 2014 at 01:05AM","June 13, 2014 at 07:10AM",6h 19m,22771,2h 16m,8160,33.73%,3h 46m,13567,56.08%,23m,1423,5.88%
"June 14, 2014 at 12:21AM","June 14, 2014 at 07:30AM",7h 3m,25393,3h 42m,13320,44.88%,3h 16m,11761,39.62%,1h 11m,4288,14.45%
"June 14, 2014 at 11:44PM","June 15, 2014 at 06:50AM",7h 11m,25889,3h 39m,13140,48.76%,3h 29m,12540,46.54%,17m,1057,3.92%
"June 15, 2014 at 11:14PM","June 16, 2014 at 06:10AM",7h 38m,27531,3h 51m,13860,49.32%,3h 4m,11040,39.28%,9m,574,2.04%
"June 16, 2014 at 11:47PM","June 17, 2014 at 06:10AM",6h 32m,23523,4h 11m,15060,62.08%,2h 13m,7980,32.9%,12m,735,3.03%
"June 17, 2014 at 10:50PM","June 18, 2014 at 06:05AM",7h 16m,26160,4h 20m,15600,56.52%,2h 55m,10500,38.04%,24m,1440,5.22%
"June 18, 2014 at 10:55PM","June 19, 2014 at 06:10AM",7h 18m,26319,4h 5m,14700,53.02%,3h 6m,11200,40.4%,23m,1404,5.06%
"June 22, 2014 at 01:20AM","June 22, 2014 at 07:20AM",6h 2m,21732,3h 47m,13620,58.78%,2h 15m,8100,34.96%,23m,1439,6.21%
"June 23, 2014 at 01:50AM","June 23, 2014 at 09:30AM",7h 40m,27600,15m,900,3.26%,7h 25m,26700,96.74%,0,0,0%
"June 29, 2014 at 01:27AM","June 29, 2014 at 09:15AM",7h 37m,27420,4h 17m,15420,53.01%,3h 20m,12000,41.25%,27m,1670,5.74%
"June 30, 2014 at 02:34AM","June 30, 2014 at 07:25AM",4h 44m,17042,2h 23m,8582,48.14%,2h 21m,8460,47.45%,13m,787,4.41%
"June 30, 2014 at 10:50PM","July 01, 2014 at 06:10AM",7h 37m,27420,5h 10m,18600,64.58%,2h 10m,7800,27.08%,23m,1380,4.79%
"July 02, 2014 at 12:22AM","July 02, 2014 at 06:10AM",5h 54m,21275,3h 9m,11399,51.66%,2h 38m,9481,42.97%,13m,791,3.58%
"July 02, 2014 at 11:00PM","July 03, 2014 at 06:15AM",7h 50m,28242,4h 0m,14459,46.49%,3h 5m,11102,35.69%,47m,2861,9.2%
"July 04, 2014 at 01:38AM","July 04, 2014 at 07:05AM",5h 13m,18837,3h 55m,14114,57.56%,1h 16m,4560,18.6%,1h 34m,5685,23.18%
"July 05, 2014 at 12:30AM","July 05, 2014 at 09:35AM",8h 33m,30780,2h 50m,10200,28.33%,4h 55m,17700,49.17%,1h 27m,5220,14.5%
"July 06, 2014 at 12:20AM","July 06, 2014 at 06:15AM",5h 57m,21420,2h 59m,10740,44.15%,2h 58m,10680,43.9%,48m,2906,11.95%
"July 06, 2014 at 01:39PM","July 06, 2014 at 04:00PM",2h 21m,8460,27m,1620,17.15%,1h 54m,6840,72.42%,16m,985,10.43%
"July 07, 2014 at 03:41AM","July 07, 2014 at 07:20AM",3h 18m,11882,1h 55m,6918,47.17%,1h 18m,4680,31.91%,46m,2785,18.99%
"July 07, 2014 at 11:31PM","July 08, 2014 at 06:10AM",6h 35m,23717,4h 1m,14476,53.75%,2h 34m,9241,34.31%,53m,3217,11.94%
"July 09, 2014 at 01:21AM","July 09, 2014 at 07:10AM",5h 56m,21412,3h 44m,13440,59.39%,2h 3m,7380,32.61%,20m,1217,5.38%
"July 09, 2014 at 10:19PM","July 10, 2014 at 06:10AM",8h 52m,31925,4h 36m,16560,49.57%,3h 10m,11408,34.15%,24m,1479,4.43%
"July 11, 2014 at 12:11AM","July 11, 2014 at 06:30AM",6h 22m,22959,3h 13m,11593,47.36%,2h 59m,10740,43.88%,25m,1517,6.2%
"July 12, 2014 at 12:51AM","July 12, 2014 at 08:05AM",7h 17m,26240,3h 58m,14280,52.89%,3h 18m,11880,44%,12m,758,2.81%
"July 13, 2014 at 12:02AM","July 13, 2014 at 09:00AM",9h 29m,34175,5h 25m,19501,54.21%,3h 26m,12372,34.39%,30m,1801,5.01%
"July 14, 2014 at 12:08AM","July 14, 2014 at 05:55AM",6h 31m,23475,2h 39m,9560,38.28%,3h 10m,11400,45.65%,25m,1500,6.01%
"July 14, 2014 at 11:33PM","July 15, 2014 at 05:55AM",6h 27m,23257,3h 30m,12612,50.1%,2h 54m,10440,41.47%,31m,1917,7.61%
"July 15, 2014 at 10:50PM","July 16, 2014 at 06:10AM",7h 44m,27857,4h 29m,16151,55.62%,2h 45m,9900,34.1%,19m,1179,4.06%
"July 17, 2014 at 12:13AM","July 17, 2014 at 06:00AM",6h 3m,21797,3h 9m,11390,50.6%,2h 43m,9787,43.48%,11m,711,3.16%
"July 17, 2014 at 09:38PM","July 18, 2014 at 06:10AM",8h 49m,31771,4h 27m,16043,47.96%,3h 48m,13683,40.9%,28m,1680,5.02%
"July 18, 2014 at 11:33PM","July 19, 2014 at 07:25AM",7h 49m,28157,4h 42m,16920,57.64%,2h 58m,10681,36.39%,19m,1198,4.08%
"October 01, 2014 at 11:50PM","October 02, 2014 at 06:00AM",6h 12m,22347,3h 38m,13108,57.1%,2h 33m,9239,40.25%,10m,608,2.65%
"October 03, 2014 at 12:00AM","October 03, 2014 at 05:55AM",5h 58m,21497,4h 0m,14401,62%,1h 58m,7096,30.55%,28m,1730,7.45%
"October 03, 2014 at 11:07PM","October 04, 2014 at 06:10AM",6h 49m,24594,4h 38m,16731,62.84%,2h 11m,7863,29.53%,33m,2032,7.63%
"October 04, 2014 at 11:49PM","October 05, 2014 at 08:00AM",8h 10m,29459,5h 43m,20580,63.49%,2h 27m,8879,27.39%,49m,2955,9.12%
"October 06, 2014 at 12:08AM","October 06, 2014 at 06:35AM",6h 14m,22466,4h 13m,15206,63.75%,2h 1m,7260,30.44%,23m,1386,5.81%
"October 08, 2014 at 10:41PM","October 09, 2014 at 06:15AM",7h 21m,26470,4h 15m,15309,53.49%,3h 6m,11161,38.99%,35m,2152,7.52%
"October 09, 2014 at 10:32PM","October 10, 2014 at 05:55AM",7h 24m,26652,3h 26m,12363,42.6%,3h 58m,14289,49.24%,39m,2369,8.16%
"October 10, 2014 at 10:55PM","October 11, 2014 at 06:10AM",7h 18m,26280,3h 40m,13200,48.35%,3h 35m,12900,47.25%,17m,1020,3.74%
"October 11, 2014 at 10:20PM","October 11, 2014 at 10:40PM",20m,1200,10m,600,22.22%,10m,600,22.22%,25m,1500,55.56%
"October 11, 2014 at 11:05PM","October 12, 2014 at 08:00AM",8h 57m,32268,5h 8m,18524,55.82%,3h 49m,13744,41.42%,15m,915,2.76%
"October 13, 2014 at 12:52AM","October 13, 2014 at 06:15AM",5h 13m,18832,2h 8m,7701,37.45%,3h 5m,11131,54.13%,28m,1733,8.43%
"October 13, 2014 at 10:59PM","October 14, 2014 at 06:00AM",6h 55m,24908,3h 26m,12372,41.22%,3h 28m,12536,41.77%,1h 25m,5104,17.01%
